model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
HAR-YZ,sh.588080,ma5_gt_ma20,bear_close_le_ma200,203,0.0430743106134932,0.1143069244917826,0.2018627543001735,-0.099397015633694,-0.2420378346082359,0.2851121452217291,0.2478623303433007,1.1502842921989624,0.0749149932044006,0.1773096475139872,0.1803336308637436,0.1349858111779138
HAR-YZ,sh.588080,ret20_gt_0,bear_close_le_ma200,203,0.0402241841818393,0.1170345560258501,0.1728052369197037,-0.1065381083820359,-0.2420378346082359,0.2822620187900753,0.2470531804581298,1.1425152198674593,0.0742793761308958,0.1841909666298628,0.1856374115000091,0.1424217102854535
HAR-YZ,sh.588000,ma5_gt_ma20,bear_close_le_ma200,202,0.0386334244682384,0.1202490728316048,0.15495690760404,-0.1087481585319963,-0.3109633419290717,0.3495967663973102,0.2295799448275926,1.5227670111160905,0.1026606495945902,0.2157285648871474,0.2165146367159497,0.1478073678161309
HAR-YZ,sh.588080,close_gt_ma20,bear_close_le_ma200,203,0.005402617933504,0.112909395250615,-0.1292840337519781,-0.1070677459454426,-0.2420378346082359,0.2474404525417399,0.2494465178284778,0.9919579342930844,0.0360620711332918,0.1699353381622,0.1697713145379012,0.1446197006566891
HAR-YZ,sh.588000,ret20_gt_0,bear_close_le_ma200,202,-0.0098118432802539,0.1223771032278784,-0.2436063813730034,-0.1412734389337644,-0.3109633419290717,0.3011514986488177,0.2282540985141933,1.3193695123511289,0.0581454574563571,0.2240777342945355,0.2255446325198771,0.1615197618014882
HAR-YZ,sh.588000,close_gt_ma20,bear_close_le_ma200,202,-0.0259359527142969,0.1184891639616931,-0.3876806214038929,-0.1310568944944293,-0.3109633419290717,0.2850273892147748,0.2308874003337349,1.234486545401713,0.0355491815064492,0.2081310833811158,0.2075640060769092,0.1575098663975291
HAR-YZ,sz.159949,ret20_gt_0,bear_close_le_ma200,673,-0.0432872014614227,0.1604462054846995,-0.3944449871546381,-0.3554282653316194,-0.2560561044452009,0.2127689029837781,0.2109381265765716,1.008679210519782,0.052031967394332,0.3698016965242977,0.3825507422616376,0.3891070053043778
HAR-YZ,sz.159915,ma5_gt_ma20,bear_close_le_ma200,903,-0.0679297370865731,0.1933034084572838,-0.454879392910466,-0.4650277780637427,-0.2732436407202275,0.2053139036336544,0.1758339057871147,1.1676582096869967,0.0946129904921627,0.5464716254389294,0.5545067547183795,0.448992302928682
HAR-YZ,sh.510500,close_gt_ma20,bear_close_le_ma200,888,-0.0600857905605698,0.1700187426743655,-0.4710409529022163,-0.3973324207368216,-0.2360580077894501,0.1759722172288803,0.1532935498560223,1.1479427372786295,0.0762426440059654,0.5494539000332626,0.5709942416335294,0.4415468731221051
HAR-YZ,sz.159949,ma5_gt_ma20,bear_close_le_ma200,673,-0.0698473991807996,0.1906563747440342,-0.471253055668473,-0.3525422569938025,-0.2560561044452009,0.1862087052644012,0.1854899924754864,1.0038746715082745,0.0692982354753885,0.513492836617371,0.5223676445616359,0.4333286893950447
HAR-YZ,sz.159915,close_gt_ma20,bear_close_le_ma200,903,-0.076911473139157,0.1826210924655315,-0.5306696605018305,-0.4184231952383044,-0.2732436407202275,0.1963321675810705,0.1804209595220715,1.0881893550569024,0.0705766556812156,0.5057560589193126,0.5321461769676801,0.3947506154803153
