model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
HAR-YZ,sz.159845,ma5_gt_ma20,all,240,0.3489073431280483,0.1724486157830128,1.9072773743913547,-0.0861352739309261,0.4768428476752051,-0.1279355045471568,0.1107926802345272,-1.15472885281177,0.0177482269251507,0.7069586977602637,0.7090656465691925,0.8002338435337605
HAR-YZ,sh.512100,ma5_gt_ma20,all,355,0.3506832304501222,0.1814859112489036,1.8220876109583948,-0.0819918869167591,0.2442495493816452,0.1064336810684769,0.1337116310662452,0.7959941870408129,0.1521829648810674,0.6459777393724706,0.6534458694742488,0.813850407925165
HAR-YZ,sz.159845,ret20_gt_0,all,240,0.3812573277788378,0.2006553645279342,1.800387089718428,-0.1336353340883346,0.4768428476752051,-0.0955855198963673,0.0465750229654335,-2.0522914173828264,-0.0489627267685238,0.9514413127845838,0.9485937223419272,0.8958333333333334
HAR-YZ,sz.159845,close_gt_ma20,all,240,0.3608949707256064,0.1922767955884762,1.7729386933159257,-0.1336353340883344,0.4768428476752051,-0.1159478769495987,0.0710414435180394,-1.632116004514411,-0.0368566789892489,0.8783227329380751,0.8803842846531945,0.8952777971788421
HAR-YZ,sh.512100,ret20_gt_0,all,355,0.3267019635075414,0.2002640768570825,1.5314876652911529,-0.1312176093629237,0.2442495493816452,0.0824524141258962,0.1045474746494234,0.788660026484446,0.1070636924367423,0.7828318759104121,0.7881179912069495,0.8603676224503448
HAR-YZ,sh.588000,ret20_gt_0,all,795,0.3537941247992029,0.2780159840675644,1.2006292584892642,-0.1926829268292672,0.2097628844368506,0.1440312403623522,0.1856769874759859,0.7757086234554521,0.164890424655674,0.6903237268838873,0.6935197045252828,0.5187374626815919
HAR-YZ,sh.588000,close_gt_ma20,all,795,0.3561718606825463,0.2828914341562936,1.1883423111949585,-0.2420830757820105,0.2097628844368506,0.1464089762456957,0.1771422631020186,0.8265050569065879,0.1621564760179511,0.7162439101725013,0.7210660117226478,0.4864645430562768
HAR-YZ,sh.588000,ma5_gt_ma20,all,795,0.3491383375975601,0.2774124413736564,1.186458458632114,-0.2067498355756329,0.2097628844368506,0.1393754531607094,0.182746155514125,0.7626724226761457,0.1605246433787488,0.6936333449391716,0.7032355089196968,0.5008934773575686
HAR-YZ,sh.588080,close_gt_ma20,all,795,0.3374694431779543,0.2744607275777594,1.1567026218277796,-0.2378103886381594,0.2043183735822344,0.1331510695957198,0.1856900601505845,0.7170608350696942,0.1567948177571494,0.6837365862499734,0.689860429157908,0.4782577466252104
HAR-YZ,sh.588080,ma5_gt_ma20,all,795,0.2815234283419614,0.2503372227823108,1.0446845476486646,-0.2138683230936418,0.2043183735822344,0.0772050547597269,0.2167811264253188,0.3561428802997022,0.1333092593651639,0.5705057194222198,0.5773154255121831,0.4804048231606672
HAR-YZ,sh.588080,ret20_gt_0,all,795,0.2629599793575881,0.2517059193967335,0.965253339849508,-0.1978586261059592,0.2043183735822344,0.0586416057753536,0.2156661666660638,0.2719091579448059,0.1179047595242956,0.5757653373319555,0.5816318620910632,0.4942198201968414
HAR-YZ,sh.512100,close_gt_ma20,all,355,0.2085191772761034,0.1955935601916895,0.963831207384063,-0.1412897856988034,0.2442495493816452,-0.0357303721055417,0.1152276853701795,-0.3100849591029677,0.0219052869268198,0.7421542145718341,0.7425736901672355,0.8071586930120687
HAR-YZ,sz.159949,ret20_gt_0,all,1844,0.2675559389658279,0.2651240456273685,0.9337362757121151,-0.3494820316169653,0.2351880078486781,0.0323679311171498,0.1802970987490273,0.1795255239364992,0.086389501266511,0.680580104397235,0.6893900830463493,0.5860514474622027
HAR-YZ,sz.159949,close_gt_ma20,all,1844,0.1891216124587853,0.2692231882016373,0.6281836775965972,-0.3628340877525633,0.2351880078486781,-0.0460663953898927,0.1740959744184985,-0.2646034495844033,0.018463016068222,0.7015517230868259,0.7103939191646935,0.6105266349667028
HAR-YZ,sz.159949,ma5_gt_ma20,all,1844,0.1848180258408627,0.2720118266076242,0.6059222788081636,-0.4210207567493436,0.2351880078486781,-0.0503699820078153,0.1709088006068864,-0.2947184804349147,0.0125821207972667,0.7140204608026589,0.7208593074940242,0.6029829845161833
HAR-YZ,sz.159915,ma5_gt_ma20,all,2222,0.1510076241520757,0.2385549330627926,0.5491717252293908,-0.2935900324410772,0.0959330676946508,0.0550745564574248,0.1635163369494445,0.3368137856124593,0.0716545727355158,0.6759469354435551,0.6883739749503831,0.5125953195840562
HAR-YZ,sz.159915,ret20_gt_0,all,2222,0.1351005501359499,0.2395659356762063,0.480454576361466,-0.3432950710231689,0.0959330676946508,0.039167482441299,0.1621004131944796,0.2416248155660651,0.0573452291735904,0.6814545521813319,0.6937447403223029,0.5404463023833099
HAR-YZ,sz.159915,close_gt_ma20,all,2222,0.0871825094196838,0.2224264181226246,0.3020437499589004,-0.3727205885958672,0.0959330676946508,-0.0087505582749669,0.1795193633767761,-0.0487443700243145,0.0195511134952454,0.6005750238774833,0.6250832154783593,0.4439852847114524
HAR-YZ,sh.510050,ret20_gt_0,all,2223,0.0588881620200785,0.1372055736900939,0.2834298999245844,-0.2827720923864339,0.0273858715794605,0.0315022904406179,0.1235814878515471,0.2549110792262041,0.033310715508011,0.5513024392831064,0.5590642496875913,0.6239190209846237
HAR-YZ,sh.510050,ma5_gt_ma20,all,2223,0.0502322913253046,0.1364562136146258,0.2215530573835606,-0.3566140169211912,0.0273858715794605,0.022846419745844,0.1251649623805861,0.1825304726763344,0.02521582029588,0.542653980604173,0.5476268773019474,0.6157087990139234
HAR-YZ,sh.510050,close_gt_ma20,all,2223,0.0319662756402825,0.139937556667997,0.0855115376115407,-0.3646957285377212,0.0273858715794605,0.0045804040608219,0.120731058683825,0.0379389041291957,0.0074282293676754,0.5722905506668391,0.5791485563626018,0.6192078459085716
HAR-YZ,sh.510500,ma5_gt_ma20,all,2157,0.0327415524673317,0.1902861067809281,0.0669599724482294,-0.3090884572205414,0.0338413801793573,-0.0010998277120255,0.1123168479392429,-0.0097921881908624,0.0021564137392008,0.7366241408131067,0.7471112195979701,0.64817044898782
