code,trend,regime,days,period_start,period_end,strategy_ann_return,strategy_ann_vol,strategy_sharpe_rf,strategy_max_drawdown,benchmark_ann_return,active_ann_return,information_ratio,capm_alpha_ann,capm_beta,avg_position
sh.512100,close_gt_ma20,bear_close_le_ma200,11,2024-09-13,2025-04-09,1.1254711844075782,0.13802464746552187,8.009230269425043,-0.0001325995003923497,-0.06061436431038125,1.1860855487179593,2.0778669912968097,,,0.17077597042072387
sh.512100,ret20_gt_0,bear_close_le_ma200,11,2024-09-13,2025-04-09,1.1254711844075782,0.13802464746552187,8.009230269425043,-0.0001325995003923497,-0.06061436431038125,1.1860855487179593,2.0778669912968097,,,0.17077597042072387
sh.512100,ma5_gt_ma20,bear_close_le_ma200,11,2024-09-13,2025-04-09,0.9160582093470815,0.13847628311343432,6.470842437423496,-0.00012381823316343077,-0.06061436431038125,0.9766725736574627,1.7074478014896424,,,0.11050347024236135
sz.159949,ret20_gt_0,bear_close_le_ma200,829,2018-07-30,2025-06-23,-0.05622464813302208,0.0870462894027092,-0.8756794649841754,-0.2788772384866104,-0.2955502128594286,0.23932556472640654,0.9586320247234698,-0.02354623406781894,0.1523566941670734,0.17576427043860945
sz.159915,ret20_gt_0,bear_close_le_ma200,1124,2017-01-09,2025-06-23,-0.07303233554205268,0.0884760348741158,-1.051497568515809,-0.3187421564569092,-0.26166048236897244,0.18862814682691975,0.8563151143762046,-0.04186785085640779,0.17072410008631952,0.22663079374274914
sz.159949,ma5_gt_ma20,bear_close_le_ma200,829,2018-07-30,2025-06-23,-0.07460556442842636,0.08821022207320853,-1.0725011478818196,-0.2684401102821742,-0.2955502128594286,0.22094464843100226,0.8879086430678741,-0.04183022949547601,0.15623502310538398,0.2035346470507949
sh.510500,ret20_gt_0,bear_close_le_ma200,1049,2017-04-20,2025-06-20,-0.09598460559787958,0.10263833668885776,-1.1300320069437628,-0.39025227223434344,-0.23705583037311895,0.14107122477523937,0.7271710807258792,-0.05172699417495955,0.2409234410855908,0.26446131681758356
sz.159915,close_gt_ma20,bear_close_le_ma200,1124,2017-01-09,2025-06-23,-0.08621432163923448,0.09024673284964602,-1.1769325967311304,-0.3699073239359272,-0.26166048236897244,0.17544616072973795,0.8018795316595284,-0.05373740823894599,0.1785612894002545,0.24898320209103814
sh.510500,close_gt_ma20,bear_close_le_ma200,1049,2017-04-20,2025-06-20,-0.08070960190082188,0.07879204289836124,-1.2781697008508013,-0.35257069469520896,-0.23705583037311895,0.15634622847229707,0.7522036719992539,-0.0622282564474017,0.14635645759385982,0.2925875025390747
sz.159915,ma5_gt_ma20,bear_close_le_ma200,1124,2017-01-09,2025-06-23,-0.0949842175615242,0.08882266473722664,-1.2945369056613425,-0.4166242954955187,-0.26166048236897244,0.16667626480744824,0.7594526760645858,-0.06480070607004909,0.1741033570811019,0.25438471597103246
sz.159949,close_gt_ma20,bear_close_le_ma200,829,2018-07-30,2025-06-23,-0.0961208776564183,0.08633931825534474,-1.3449362353429282,-0.3240631892042243,-0.2955502128594286,0.19942933520301032,0.7985670172572925,-0.06712669689135214,0.15132218647182133,0.20098786124972734
sh.510500,ma5_gt_ma20,bear_close_le_ma200,1049,2017-04-20,2025-06-20,-0.12468825789657412,0.1045326892305186,-1.384143648859002,-0.467196778713721,-0.23705583037311895,0.11236757247654483,0.585006236945253,-0.0809133659655086,0.2517642036616037,0.2797781754529959
sh.510050,ret20_gt_0,bear_close_le_ma200,1054,2017-05-05,2026-05-28,-0.10421578532999265,0.08202327326724396,-1.5143968337532598,-0.37934043250582505,-0.22222989447318364,0.11801410914319099,0.729334424056139,-0.06926948897717973,0.2258701566837957,0.2805295668167854
sh.588080,close_gt_ma20,bear_close_le_ma200,409,2022-11-24,2026-04-07,-0.11927579733575722,0.09015200486579707,-1.5448996119729923,-0.272360139533003,-0.29459904146878346,0.17532324413302625,0.9040885553355305,-0.06723944951481939,0.22049585871231892,0.2113953287873096
sh.510050,close_gt_ma20,bear_close_le_ma200,1054,2017-05-05,2026-05-28,-0.11043564732386324,0.08417197490990343,-1.5496327306503124,-0.39694055872723166,-0.22222989447318364,0.1117942471493204,0.6990477565334775,-0.07261303288106391,0.2394568300709578,0.2945485598010679
