code,name,benchmark,trend,ann_return,ann_vol,sharpe,max_drawdown,buy_hold_ann_return,alpha_vs_buy_hold,avg_position,vol_mae,vol_qlike,latest_close,latest_pred_vol_ann
sz.159845,ChinaAMC CSI 1000 ETF,CSI 1000,close_gt_ma20,0.12565531158721677,0.1265883521066588,0.9926293335530911,-0.09386182289848521,0.27879963915484596,-0.1531443275676292,0.428240517173525,0.0004086596403917833,0.0051332754571692335,3.477,0.2232497643522506
sh.588080,E Fund STAR 50 ETF,STAR 50,close_gt_ma20,0.11953936026119849,0.12870467023650373,0.9287880544003311,-0.22066684839092499,0.09039692874865701,0.029142431512541478,0.27113876544965787,0.0004740822015253849,0.007148369532817249,1.791,0.4818214970829215
sh.588000,ChinaAMC STAR 50 ETF,STAR 50,close_gt_ma20,0.11584536672326018,0.12784716857812073,0.9061238352922389,-0.21759605944638805,0.09598477174820563,0.019860594975054546,0.27996973794866764,0.00046332560931794826,0.006436628194363746,1.844,0.4812152281452136
sh.512100,China Southern CSI 1000 ETF,CSI 1000,close_gt_ma20,0.09027803417672908,0.11882586707537766,0.7597506872763726,-0.1096566253474256,0.1466590235765537,-0.05638098939982461,0.3874044083697407,0.0004226746870676044,0.0047751289193291024,3.383,0.22721637167266456
sz.159949,ChinaAMC ChiNext 50 ETF,ChiNext 50,close_gt_ma20,0.06712141652940029,0.12377744728205453,0.5422750105392719,-0.29187756770896434,0.12572286397290933,-0.058601447443509036,0.3045605391446217,0.00042204511561669153,0.005195066737269623,1.965,0.33224366197640565
sz.159915,E Fund ChiNext ETF,ChiNext,close_gt_ma20,0.02830408422441244,0.12239183022988785,0.23125795382950845,-0.39160384110185875,0.07736452151514617,-0.04906043729073373,0.35089300317673033,0.00039239835003162924,0.005747902801167171,4.053,0.30988377511734033
sh.510500,China Southern CSI 500 ETF,CSI 500,close_gt_ma20,0.018671519916330093,0.10443689837743038,0.17878278852031815,-0.27556965177559,0.03461908247070444,-0.01594756255437435,0.4395862957160946,0.0003397152181858871,0.009042297497432962,8.443,0.22413138701445834
sh.510050,ChinaAMC SSE 50 ETF,SSE 50,close_gt_ma20,0.018032882385214055,0.10904524966836182,0.16537063686916462,-0.24281576181572162,0.034859649922167835,-0.01682676753695378,0.45818935864450966,0.0002947616154068916,0.006768539501512232,2.997,0.13972404162713828
sh.510300,Huatai-PB CSI 300 ETF,CSI 300,close_gt_ma20,0.010751704467103274,0.10641044429612154,0.10103993586553564,-0.3296744091715159,0.04759103120698849,-0.036839326739885214,0.46844290875871747,0.0002844023061896821,0.006093982394345408,4.923,0.16106403068885708
sz.159845,ChinaAMC CSI 1000 ETF,CSI 1000,ma5_gt_ma20,0.21869308787708586,0.12797955913576242,1.7088126365952965,-0.07691478281420194,0.27879963915484596,-0.0601065512777601,0.4318032442087444,0.0004086596403917833,0.0051332754571692335,3.477,0.2232497643522506
sh.512100,China Southern CSI 1000 ETF,CSI 1000,ma5_gt_ma20,0.15416927377590084,0.11994287561146931,1.285355824511837,-0.0764413940773303,0.1466590235765537,0.007510250199347146,0.3893817071168636,0.0004226746870676044,0.0047751289193291024,3.383,0.22721637167266456
sh.588080,E Fund STAR 50 ETF,STAR 50,ma5_gt_ma20,0.1014987028037182,0.12854001649504862,0.7896272738352103,-0.21371879130761018,0.09039692874865701,0.011101774055061187,0.2730911240945695,0.0004740822015253849,0.007148369532817249,1.791,0.4818214970829215
sh.588000,ChinaAMC STAR 50 ETF,STAR 50,ma5_gt_ma20,0.09767338995489605,0.1273597563719481,0.7669093655427981,-0.2106455796247938,0.09598477174820563,0.0016886182066904176,0.2796541312232562,0.00046332560931794826,0.006436628194363746,1.844,0.4812152281452136
sz.159949,ChinaAMC ChiNext 50 ETF,ChiNext 50,ma5_gt_ma20,0.07777119887270256,0.12691170337660845,0.6127976916511614,-0.31227201195679166,0.12572286397290933,-0.047951665100206764,0.3054665947148059,0.00042204511561669153,0.005195066737269623,1.965,0.33224366197640565
sz.159915,E Fund ChiNext ETF,ChiNext,ma5_gt_ma20,0.045603778751897917,0.1239471928915238,0.3679290969647813,-0.3400699976638675,0.07736452151514617,-0.03176074276324825,0.35425830269634495,0.00039239835003162924,0.005747902801167171,4.053,0.30988377511734033
sh.510050,ChinaAMC SSE 50 ETF,SSE 50,ma5_gt_ma20,0.021286281617147074,0.1070618482487211,0.1988222879143257,-0.28786591543998297,0.034859649922167835,-0.013573368305020761,0.4540965177780942,0.0002947616154068916,0.006768539501512232,2.997,0.13972404162713828
sh.510300,Huatai-PB CSI 300 ETF,CSI 300,ma5_gt_ma20,0.005228894356190006,0.10869443561971395,0.04810636649776798,-0.3461969442184041,0.04759103120698849,-0.04236213685079848,0.47257485143439637,0.0002844023061896821,0.006093982394345408,4.923,0.16106403068885708
sh.510500,China Southern CSI 500 ETF,CSI 500,ma5_gt_ma20,0.004808777120279606,0.11662030533327127,0.04123447547609604,-0.39431572062347064,0.03461908247070444,-0.029810305350424837,0.4363740036951846,0.0003397152181858871,0.009042297497432962,8.443,0.22413138701445834
